Hari,Jam,Mata Kuliah,Semester,SKS,Dosen,Ruang,Kelas,Kapasitas Kelas
Senin,09:20:00 - 10:10:00,Statistika Sains Data,1,3,GETUT PRAMESTI,R010,A,30
Senin,10:15:00 - 11:05:00,Matematika Dasar,1,3,RISTU SAPTONO,R010,A,30
Senin,11:10:00 - 12:00:00,Matematika Dasar,1,3,RISTU SAPTONO,R010,A,30
Senin,13:00:00 - 13:50:00,Matematika Dasar,1,3,RISTU SAPTONO,R010,A,30
Senin,19:30:00 - 20:20:00,Bahasa Inggris,1,2,"PRIMANDA DEWANTI, S.PD.",R010,A,30
Senin,20:25:00 - 21:15:00,Bahasa Inggris,1,2,"PRIMANDA DEWANTI, S.PD.",R010,A,30
Senin,13:55:00 - 14:45:00,Analisis Data Citra Biomedik,5,3,ESTI SURYANI,R010,A,30
Senin,15:30:00 - 16:20:00,Analisis Data Citra Biomedik,5,3,ESTI SURYANI,R010,A,30
Senin,16:25:00 - 17:15:00,Analisis Data Citra Biomedik,5,3,ESTI SURYANI,R010,A,30
Selasa,07:30:00 - 08:20:00,Fisika ( Team Teaching ),1,3,AGUS SUPRIYANTO + LUTHFIYA KURNIA PERMATAHATI,R001,D,25
Selasa,08:25:00 - 09:15:00,Fisika ( Team Teaching ),1,3,AGUS SUPRIYANTO + LUTHFIYA KURNIA PERMATAHATI,R001,D,25
Selasa,09:20:00 - 10:10:00,Fisika ( Team Teaching ),1,3,AGUS SUPRIYANTO + LUTHFIYA KURNIA PERMATAHATI,R001,D,25
Selasa,13:00:00 - 13:50:00,Sistem Terdistribusi,5,3,ERY PERMANA YUDHA,R001,C,25
Selasa,13:55:00 - 14:45:00,Sistem Terdistribusi,5,3,ERY PERMANA YUDHA,R001,C,25
Selasa,15:30:00 - 16:20:00,Sistem Terdistribusi,5,3,ERY PERMANA YUDHA,R001,C,25
Selasa,10:15:00 - 11:05:00,Organisasi dan Arsitektur Komputer,1,3,HERDITO IBNU DEWANGKORO,R001,B,25
Selasa,09:20:00 - 10:10:00,Pendidikan Agama Islam,1,2,CHOIROEL ANAM,R002,C,40
Selasa,10:15:00 - 11:05:00,Pendidikan Agama Islam,1,2,CHOIROEL ANAM,R002,C,40
Selasa,13:00:00 - 13:50:00,Pendidikan Agama Islam,1,2,RELLY PRIHATIN,R002,D,40
Selasa,13:55:00 - 14:45:00,Pendidikan Agama Islam,1,2,RELLY PRIHATIN,R002,D,40
Selasa,07:30:00 - 08:20:00,Pemrograman Berorientasi Objek,3,3,ARIF ROHMADI,R002,C,40
Selasa,08:25:00 - 09:15:00,Pemrograman Berorientasi Objek,3,3,ARIF ROHMADI,R002,C,40
Selasa,11:10:00 - 12:00:00,Pemrograman Berorientasi Objek,3,3,ARIF ROHMADI,R002,C,40
Selasa,15:30:00 - 16:20:00,Pemrograman Berorientasi Objek,3,3,ARIF ROHMADI,R002,D,40
Selasa,07:30:00 - 08:20:00,Basis Data,3,4,BRILYAN HENDRASURYAWAN,R003,B,30
Selasa,08:25:00 - 09:15:00,Basis Data,3,4,BRILYAN HENDRASURYAWAN,R003,B,30
Selasa,09:20:00 - 10:10:00,Basis Data,3,4,BRILYAN HENDRASURYAWAN,R003,B,30
Selasa,13:00:00 - 13:50:00,Sistem Operasi,3,3,HERDITO IBNU DEWANGKORO,R003,C,30
Selasa,13:55:00 - 14:45:00,Sistem Operasi,3,3,HERDITO IBNU DEWANGKORO,R003,C,30
Selasa,15:30:00 - 16:20:00,Sistem Operasi,3,3,HERDITO IBNU DEWANGKORO,R003,C,30
Selasa,10:15:00 - 11:05:00,Bahasa Indonesia,1,2,MUHAMMAD ROHMADI,R004,B,25
Selasa,11:10:00 - 12:00:00,Bahasa Indonesia,1,2,MUHAMMAD ROHMADI,R004,B,25
Selasa,07:30:00 - 08:20:00,Semantic Web,7,3,DEWI WISNU WARDANI,R004,A,25
Selasa,08:25:00 - 09:15:00,Semantic Web,7,3,DEWI WISNU WARDANI,R004,A,25
Selasa,09:20:00 - 10:10:00,Semantic Web,7,3,DEWI WISNU WARDANI,R004,A,25
Selasa,13:00:00 - 13:50:00,Kecerdasan Komputasional,7,3,WIHARTO,R004,B,25
Selasa,13:55:00 - 14:45:00,Kecerdasan Komputasional,7,3,WIHARTO,R004,B,25
Selasa,15:30:00 - 16:20:00,Kecerdasan Komputasional,7,3,WIHARTO,R004,B,25
Selasa,10:15:00 - 11:05:00,Bahasa Indonesia,1,2,KUNDHARU SADDHONO,R005,D,25
Selasa,11:10:00 - 12:00:00,Bahasa Indonesia,1,2,KUNDHARU SADDHONO,R005,D,25
Selasa,16:25:00 - 17:15:00,Pendidikan Agama katholik,1,2,VINSENSIUS KRISWIDIATMA TJAHJA H,R005,E,25
Selasa,18:10:00 - 19:00:00,Pendidikan Agama katholik,1,2,VINSENSIUS KRISWIDIATMA TJAHJA H,R005,E,25
Selasa,22:15:00 - 23:05:00,Pendidikan Agama Kristen,1,2,HERY HARJANTO,R005,F,25
Selasa,22:15:00 - 23:05:00,Pendidikan Agama Kristen,1,2,HERY HARJANTO,R005,F,25
Selasa,07:30:00 - 08:20:00,Machine Learning,5,3,SHAIFUDIN ZUHDI,R005,A,25
Selasa,08:25:00 - 09:15:00,Machine Learning,5,3,SHAIFUDIN ZUHDI,R005,A,25
Selasa,09:20:00 - 10:10:00,Machine Learning,5,3,SHAIFUDIN ZUHDI,R005,A,25
Selasa,13:00:00 - 13:50:00,Manajemen Sistem Informasi,5,3,RINI ANGGRAININGSIH,R005,A,25
Selasa,13:55:00 - 14:45:00,Manajemen Sistem Informasi,5,3,RINI ANGGRAININGSIH,R005,A,25
Selasa,15:30:00 - 16:20:00,Manajemen Sistem Informasi,5,3,RINI ANGGRAININGSIH,R005,A,25
Selasa,07:30:00 - 08:20:00,Konsep Pemrograman,1,4,BAMBANG HARJITO,R006,A,35
Selasa,08:25:00 - 09:15:00,Konsep Pemrograman,1,4,BAMBANG HARJITO,R006,A,35
Selasa,09:20:00 - 10:10:00,Konsep Pemrograman,1,4,BAMBANG HARJITO,R006,A,35
Selasa,15:30:00 - 16:20:00,Metode Numerik,3,3,UMI SALAMAH,R006,A,35
Selasa,13:00:00 - 13:50:00,Matematika Diskrit II,3,2,SHAIFUDIN ZUHDI,R006,B,35
