Hari,Mata Kuliah,Semester,SKS,Dosen,Ruang,Kelas,Kapasitas Kelas,start,finish,duration,jumlah_mahasiswa,profit_density
Senin,Pemodelan dan Simulasi,3,3,SHAIFUDIN ZUHDI,R009,A,30,13:00:00,13:50:00,50.0,29,0.06
Senin,Pemodelan dan Simulasi,3,3,SHAIFUDIN ZUHDI,R009,B,30,13:55:00,14:45:00,50.0,19,0.06
Senin,Pemodelan dan Simulasi,3,3,SHAIFUDIN ZUHDI,R009,B,30,15:30:00,16:20:00,50.0,15,0.06
Senin,Pemodelan dan Simulasi,3,3,SHAIFUDIN ZUHDI,R009,B,30,16:25:00,17:15:00,50.0,13,0.06
Senin,Statistika Sains Data,1,3,GETUT PRAMESTI,R010,A,30,07:30:00,08:20:00,50.0,17,0.06
Senin,Statistika Sains Data,1,3,GETUT PRAMESTI,R010,A,30,08:25:00,09:15:00,50.0,21,0.06
Senin,Statistika Sains Data,1,3,GETUT PRAMESTI,R010,A,30,09:20:00,10:10:00,50.0,15,0.06
Senin,Matematika Dasar,1,3,RISTU SAPTONO,R010,A,30,10:15:00,11:05:00,50.0,29,0.06
Senin,Matematika Dasar,1,3,RISTU SAPTONO,R010,A,30,11:10:00,12:00:00,50.0,23,0.06
Senin,Matematika Dasar,1,3,RISTU SAPTONO,R010,A,30,13:00:00,13:50:00,50.0,13,0.06
Senin,Bahasa Inggris,1,2,"PRIMANDA DEWANTI, S.PD.",R010,A,30,19:30:00,20:20:00,50.0,21,0.04
Senin,Bahasa Inggris,1,2,"PRIMANDA DEWANTI, S.PD.",R010,A,30,20:25:00,21:15:00,50.0,15,0.04
Senin,Analisis Data Citra Biomedik,5,3,ESTI SURYANI,R010,A,30,13:55:00,14:45:00,50.0,25,0.06
Senin,Analisis Data Citra Biomedik,5,3,ESTI SURYANI,R010,A,30,15:30:00,16:20:00,50.0,27,0.06
Senin,Analisis Data Citra Biomedik,5,3,ESTI SURYANI,R010,A,30,16:25:00,17:15:00,50.0,26,0.06
Selasa,Fisika ( Team Teaching ),1,3,AGUS SUPRIYANTO + LUTHFIYA KURNIA PERMATAHATI,R001,D,25,07:30:00,08:20:00,50.0,17,0.06
Selasa,Fisika ( Team Teaching ),1,3,AGUS SUPRIYANTO + LUTHFIYA KURNIA PERMATAHATI,R001,D,25,08:25:00,09:15:00,50.0,23,0.06
Selasa,Fisika ( Team Teaching ),1,3,AGUS SUPRIYANTO + LUTHFIYA KURNIA PERMATAHATI,R001,D,25,09:20:00,10:10:00,50.0,16,0.06
Selasa,Sistem Terdistribusi,5,3,ERY PERMANA YUDHA,R001,C,25,13:00:00,13:50:00,50.0,21,0.06
Selasa,Sistem Terdistribusi,5,3,ERY PERMANA YUDHA,R001,C,25,13:55:00,14:45:00,50.0,18,0.06
Selasa,Sistem Terdistribusi,5,3,ERY PERMANA YUDHA,R001,C,25,15:30:00,16:20:00,50.0,23,0.06
Selasa,Organisasi dan Arsitektur Komputer,1,3,HERDITO IBNU DEWANGKORO,R001,B,25,10:15:00,11:05:00,50.0,17,0.06
